11759514,987076,ANBAK RUBBER TRADING L.L.C,Single Person Company,No,,28/09/2021,27/09/2024," Plastic &amp; Nylon Raw Materials Trading,Raw Materials Trading,Rubber Trading,",Dubai Department of Economy & Tourism,Dubai Department of Economic Development,,,Active,,,,Bur Dubai Al Karama
10397200,1016680,EMIRATES RUBBER PRODUCTS FACTORY,Limited Liability Company,No,,25/05/2017,24/05/2021,"Used Tyres Rubber Reclaiming,",Fujairah Municipality,Head Office-Fujairah Municipality,00971509300000,00971509300000,Expired,,,,", عبداللطيف ذباب محمود بدراوي, ثوبان, السيجي"
10797102,301042,AL NAURAS RUBBER FACTORY L.L.C,Limited Liability Company,No,,14/04/1994,13/04/2025," Tyre Retreading,Rubber Products Manufacturing,",Dubai Department of Economy & Tourism,Dubai Department of Economic Development,,0097148851815,Active,,admin@alnauras.com,,Bur Dubai Dubai Investments Park 1  0
10799404,507277,MIDDLE EAST RUBBER MANUFACTURING (L.L.C),Limited Liability Company,No,,18/08/1998,17/08/2024," Rubber Products Manufacturing,Mechanical Seals &amp; Gaskets Manufacturing,",Dubai Department of Economy & Tourism,Dubai Department of Economic Development,,0097143400519,Active,,,,Bur Dubai Mankhool
10891854,685942,SILVER STAR RUBBER TRADING L.L.C,Single Person Company,No,,27/03/2013,26/03/2025," Plastic &amp; Nylon Raw Materials Trading,Rubber Trading,Raw Materials Trading,",Dubai Department of Economy & Tourism,Dubai Department of Economic Development,,0097142346556,Active,,rsea1@eim.ae,,Deira Naif
10892034,686207,TECHNO RUBBER INDUSTRIES L.L.C,Limited Liability Company,No,,01/04/2013,31/03/2015," Rubber Products Manufacturing,",Dubai Department of Economy & Tourism,Dubai Department of Economic Development,,,Expired,,,,مستودع 1 ملك مجمع دبي للاستثمار
10909699,712257,GREEN LAND RUBBER PRODUCTS L.L.C,Limited Liability Company,No,,18/06/2014,17/06/2016," Rubber Products Manufacturing,",Dubai Department of Economy & Tourism,Dubai Department of Economic Development,00971566967929,0097144470091,Expired,,,,مستودع رقم 12-13-14-15-16 ملك مدينة دبي الصناعية

CBLs No,BL Local No,Bussiness Name,Legal Type,Is Branch,Parent BL NO,ES.DATE,Expiry Date,BA Description,Economic Department,Registration ED Branch,Mobile No,Phone NO,Status,PO Box,Email,Website,Full Address
11675657,964547,RUBBER FLEX SAFETY EQUIPMENTS L.L.C,Single Person Company,No,,29/06/2021,28/06/2025," Fire Fighting &amp; Safety Equipment Trading,",Dubai Department of Economy & Tourism,Dubai Department of Economic Development,,,Active,,AHMED192HAMZA@GMAIL.COM,,Deira Oud Al Muteena 3
11048236,CN-2389916,RUBBER FLOORING HOUSE FOR FLOORING INSTALLATION,Establishments,No,,13/08/2017,11/09/2024,"Work of the stadiums, gyms and maintenance,services and facilities of oil and gas fields of land and sea,",Abu Dhabi Department of Economic Development,Abu Dhabi Department for Economic Development,00971503256068,,Active,,,,"جزيرة ابوظبي, شرق 25, 0 : ~, مبنى, السيد خليفه محمد ثانى شرق 25 جزيرة ابوظبي أبوظبي"
11209319,3432,OCEAN RUBBER FACTORY LLC.,Limited Liability Company,No,,18/11/1989,15/11/2024,"Rubber Plates, Sheets ,Rods and Profile Shapes Manufacturing, 24 Working Hours,",Sharjah Economic Development Department,Sharjah Economic Development Department,00971506465764,,Active,,,,الشارقة-صناعية رقم15/الشارقة-- خلف شارع المليحة -مظلة-شبرة-مكتب-أرض مسورة ملك مصبح سالم محمد الدهماني
11225796,3643,ISMAT RUBBER PRODUCTS IND. LTD.,Limited Liability Company,No,,03/03/1994,28/02/2025,"Rubber Plates, Sheets ,Rods and Profile Shapes Manufacturing,",Sharjah Economic Development Department,Sharjah Economic Development Department,00971506467297,,Active,,,,الشارقة-صناعية رقم15/الشارقة-شارع المليحة -أرض مسورة-مكتب ملك علي عمران تريم عمران
11226433,626013,NOOR AL BADR  RUBBER PRODUCTS IND. LLC,Limited Liability Company,No,,03/01/2013,02/01/2014," Rubber Powder from Used Tyres Manufacturing,",Sharjah Economic Development Department,Sharjah Economic Development Department,00971557254651,,Expired,,,,شارع الأول الصناعي  صناعية رقم1/الشارقة الشارقة
11232634,626544,AL UROOJ RUBBER PRODUCTS IND. LLC,Limited Liability Company,No,,12/02/2013,11/02/2024,,Sharjah Economic Development Department,Sharjah Economic Development Department,00971555572729,,Expired,,,,الشارقة-صناعية رقم2/الشارقة-شارع الثاني الصناعي -شبرة رقم 1 5 6 ملك هاشم علي عبدالرسول
